id,type,name,key,description,status,lifecycle_status,links,level,includes_pii,available_in_analytics_platform,confidentiality_risk_rating,integrity_risk_rating,availability_risk_rating,information_category_description,source,owner,cmdb_sub_type,data_product_type,definition,type_of_measure
INT-CMS-SRS,Integration,CMS to SRS curriculum sync,INT-CMS-SRS,Publishes approved courses and units from the CMS into SRS.,approved,Live,,,,,,,,,CMDB Product Catalogue,,,,,
INT-SRS-EDW,Integration,SRS to EDW ingestion,INT-SRS-EDW,Nightly ingestion of SRS curriculum and enrolment tables into the warehouse.,approved,Live,,,,,,,,,CMDB Product Catalogue,,,,,
IF-CMS-SRS,Interface,Curriculum to Student Administration interface,IF-CMS-SRS,The conceptual interface through which approved curriculum reaches student administration.,draft,Planned,,,,,,,,,EA repository,,,,,
ORG-ACAD,Organization Unit,Academic Division,ORG-ACAD,Faculties and the office of the Deputy Vice-Chancellor Academic.,approved,Live,,,,,,,,,HR,,,,,
ORG-REG,Organization Unit,Student Registry,ORG-REG,Admissions and enrolment services.,approved,Live,,,,,,,,,HR,,,,,
ORG-DAU,Organization Unit,Data and Analytics,ORG-DAU,The data platform and information governance unit.,approved,Live,,,,,,,,,HR,,,,,
POS-CURR-MGR,Position,"Manager, Curriculum Systems",POS-CURR-MGR,Owns the curriculum management system and its data.,approved,Live,,,,,,,,,HR,,,,,
POS-REG,Position,Registrar,POS-REG,Accountable for student records.,approved,Live,,,,,,,,,HR,,,,,
POS-DATA-GOV,Position,"Manager, Data Governance",POS-DATA-GOV,Stewards information assets across the institution.,approved,Live,,,,,,,,,HR,,,,,
POS-INFO-ARCH,Position,Information Architect,POS-INFO-ARCH,Maintains the business information model and the EA information domain.,approved,Live,,,,,,,,,HR,,,,,
DEF-COURSE,Business Definition,Course,DEF-COURSE,,approved,Live,,,,,,,,,,,,,"A structured program of study leading to an award, composed of units.",
DEF-UNIT,Business Definition,Unit,DEF-UNIT,,approved,Live,,,,,,,,,,,,,"A discrete component of study within a course, with its own outline and assessment.",
DEF-ENROLLED-STUDENT,Business Definition,Enrolled Student,DEF-ENROLLED-STUDENT,,draft,Live,,,,,,,,,,,,,"A student with at least one current unit enrolment in a teaching period.",
MSR-OUTLINE-COMPLETENESS,Measure,Unit outline completeness rate,MSR-OUTLINE-COMPLETENESS,Share of offered units with an approved outline before census date.,approved,Live,,,,,,,,,,,,,Approved outlines divided by offered units,Rate
MSR-ENROL-VALIDITY,Measure,Enrolment record validity rate,MSR-ENROL-VALIDITY,Share of enrolment records passing validation rules.,approved,Live,,,,,,,,,,,,,Valid records divided by all records,Rate
DP-CURR-HEALTH,Data Product,Curriculum Health Dashboard,DP-CURR-HEALTH,Dashboard tracking outline completeness and offering readiness per faculty.,approved,Live,,,,,,,,,Data product register,Data and Analytics,,Dashboard,,
DP-ENROL-EXTRACT,Data Product,Enrolment Extract,DP-ENROL-EXTRACT,Weekly extract of enrolments for government reporting.,approved,Live,,,,,,,,,Data product register,Student Registry,,Extract,,
CAP-CURR-DEV,Capability,Curriculum Development,CAP-CURR-DEV,Designing and approving courses and units.,approved,Live,,2,,,,,,,Reference capability model v3,,,,,
CAP-ENROL-MGMT,Capability,Student Enrolment Management,CAP-ENROL-MGMT,Admitting and enrolling students.,approved,Live,,2,,,,,,,Reference capability model v3,,,,,
WP-CMS-UPGRADE,Work Package,Curriculum Management System Upgrade,WP-CMS-UPGRADE,Project replacing the curriculum management system.,approved,Planned,,,,,,,,,Project portfolio tool,,,,,
LAC-SIS,Logical Application Component,Student Information System,LAC-SIS,,approved,Live,,,,,,,,,Reference application model v3,,,,,
LAC-CMS,Logical Application Component,Curriculum Management,LAC-CMS,,approved,Live,,,,,,,,,Reference application model v3,,,,,
LTC-DBP,Logical Technology Component,Database Platform,LTC-DBP,,approved,Live,,,,,,,,,Reference technology model v3,,,,,
LTC-ANALYTICS,Logical Technology Component,Analytics Platform,LTC-ANALYTICS,,approved,Live,,,,,,,,,Reference technology model v3,,,,,
